Species,Medium,Temperature_C,Light_umol_m2_s,Nitrate_mg_L,Phosphate_mg_L,CO2_pct,pH,Biomass_g_L,Lipid_pct,Biofuel_mL_per_g,Energy_Output_MJ_per_kg,Source,Data_Type
Neochloris oleoabundans,BG-11 N-stress,29.6,392,1640.7,103.2,3.0,8.8,0.1,45.2,0.4366,26.59,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,10.7,787,1885.1,6.4,0.04,6.3,0.05,20.8,0.2009,21.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,38.9,161,1319.2,17.2,1.0,5.3,0.05,24.5,0.2366,22.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Industrial Wastewater,28.0,200,110.0,18.0,2.0,7.6,1.85,16.1,0.1555,20.74,PMC11550306 Wastewater 2024,Real (measured)
Scenedesmus obliquus,Bold's Basal Medium,21.9,165,1594.2,53.6,10.0,9.2,0.14,13.6,0.1314,20.23,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,10.2,307,375.1,136.4,0.04,10.4,0.05,24.0,0.2318,22.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,BG-11,16.4,39,1192.4,198.3,2.0,5.1,0.05,26.7,0.2579,22.87,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,19.3,410,582.6,59.1,0.04,5.9,0.05,29.2,0.282,23.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,29.1,180,148.8,168.7,3.0,6.0,0.13,23.6,0.228,22.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11,20.4,266,1203.7,88.6,0.04,8.7,0.05,22.9,0.2212,22.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,15.9,1289,439.5,23.1,14.6,8.8,1.13,16.1,0.1555,20.74,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,35.6,493,699.3,162.0,1.0,7.7,0.16,9.2,0.0889,19.35,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,14.8,464,951.4,69.6,8.0,8.1,0.22,19.5,0.1884,21.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,32.8,48,1112.0,185.5,2.0,5.6,0.05,18.3,0.1768,21.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,37.2,548,1229.7,16.7,5.0,6.3,0.47,23.6,0.228,22.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Synthetic Medium,13.1,303,1075.5,166.1,0.04,9.5,0.05,22.8,0.2202,22.08,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,11.5,471,1034.1,105.6,13.87,7.6,0.21,43.5,0.4202,26.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Wastewater,36.4,1102,879.6,96.3,5.0,8.7,0.3,19.4,0.1874,21.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,32.7,520,3560.0,172.0,1.0,9.7,1.22,6.6,0.0638,18.83,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,28.7,249,3397.0,151.8,0.04,9.6,0.05,41.0,0.396,25.74,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,25.0,180,300.0,45.0,2.0,7.0,1.25,15.4,0.1487,20.6,Singh 2015 RSER 10.1016/j.rser.2015.04.020,Real (measured)
Spirulina platensis,Zarrouk's Medium,18.4,548,1885.8,62.1,0.04,10.5,0.05,7.4,0.0715,18.99,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,10.9,699,827.6,2.4,3.0,4.6,0.05,44.3,0.4279,26.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,18.4,370,400.9,98.5,0.04,9.4,0.05,23.3,0.2251,22.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11 P-stress,25.0,120,247.0,3.0,0.04,7.0,0.72,24.1,0.2328,22.34,Maltsev 2023 MCF N/P stress 10.1186/s12934-023-02244-6,Real (measured)
Scenedesmus obliquus,ORP Wastewater,14.8,97,244.6,16.1,0.04,5.7,0.05,16.7,0.1613,20.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,22.5,129,163.6,150.7,1.0,8.3,0.05,22.2,0.2144,21.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,22.6,945,1274.6,115.3,0.04,9.3,0.05,17.6,0.17,21.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,20.6,555,306.8,128.5,0.04,9.8,0.05,30.6,0.2956,23.65,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Wastewater,40.5,162,87.0,50.7,1.02,7.2,0.1,28.1,0.2714,23.15,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,BG-11,11.5,1529,1206.2,28.5,10.42,5.7,0.05,26.3,0.254,22.79,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,18.6,189,1722.5,165.0,1.0,9.8,0.05,20.0,0.1932,21.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,8.9,290,145.9,39.8,0.04,7.1,0.05,18.1,0.1748,21.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,8.8,622,750.6,131.0,2.0,6.1,0.1,21.7,0.2096,21.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,31.8,41,444.2,143.0,10.0,7.5,0.17,17.5,0.169,21.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,32.1,658,1365.2,11.8,1.0,5.5,0.07,20.5,0.198,21.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,18.5,937,1943.8,101.1,0.04,4.7,0.05,18.7,0.1806,21.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11 N-stress,22.0,331,967.7,185.0,3.0,9.4,0.05,16.9,0.1632,20.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,25.0,500,300.0,40.0,7.0,7.0,4.2,14.2,0.1372,20.35,Sung 2018 PMC6193934 10.1371/journal.pone.0203980,Real (measured)
Scenedesmus sp.,BG-11,11.4,663,1017.8,145.2,13.05,7.8,0.5,14.4,0.1391,20.39,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,25.0,150,247.0,35.0,2.0,7.0,0.9,43.2,0.4173,26.18,PMC10804497 biofuel review 2024,Real (measured)
Closterium sp.,Bold's Basal,32.0,116,1659.3,119.6,5.0,8.2,0.05,20.7,0.1999,21.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,9.9,807,1786.6,4.2,0.04,9.4,0.05,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,26.1,134,1692.4,124.1,8.15,5.3,0.07,17.7,0.171,21.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,21.5,518,2245.0,5.2,15.0,10.5,0.05,9.5,0.0918,19.41,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,27.9,120,834.5,10.2,0.04,5.3,0.05,19.5,0.1884,21.42,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,19.6,738,145.3,5.6,0.41,7.1,0.08,51.9,0.5013,27.93,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11 N-replete,25.0,120,247.0,37.0,0.04,7.0,1.45,14.2,0.1372,20.35,Maltsev 2023 MCF N/P stress 10.1186/s12934-023-02244-6,Real (measured)
Closterium sp.,Bold's Basal,25.0,3000,300.0,55.0,9.0,7.0,0.48,17.4,0.1681,21.0,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Chlorococcum sp.,BG-11 N-stress,25.0,120,88.0,35.0,0.04,7.0,0.55,32.6,0.3149,24.05,Sci Rep 2024 10.1038/s41598-024-58864-4,Real (measured)
Nannochloropsis oculata,Walne Medium,20.6,803,853.3,64.8,0.04,5.8,0.05,27.3,0.2637,22.99,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,9.5,529,242.5,50.5,5.0,5.9,0.05,20.1,0.1941,21.54,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11 N-stress,25.0,200,10.0,35.0,2.0,7.0,0.62,32.1,0.3101,23.95,OCL review 2021 10.1051/ocl/2021048,Real (measured)
